Family,Language,Glottocode,Gloss,Phonemicized Form
Chicham,Proto-Shuar,,pariente,*yánuma
Chicham,Proto-Shuar,,amarillo,*(y)angkúu
Chicham,Proto-Shuar,,cambiar,*yapa-hí-
Chicham,Proto-Shuar,,amargo,*yapáu
Chicham,Proto-Shuar,,cara,*yápi
Chicham,Proto-Shuar,,ayer; en el pasado,*yáu
Chicham,Proto-Shuar,,perro,*yawá
Chicham,Proto-Shuar,,castigar,*yawí-
Chicham,Proto-Shuar,,rata,*yáya
Chicham,Proto-Shuar,,comer,*yu-
Chicham,Proto-Shuar,,agua; llover,*yúmi
Chicham,Proto-Shuar,,nadar,*(yu)ku-
Chicham,Proto-Shuar,,ceniza,*yúku
Chicham,Proto-Shuar,,nube; neblina,*yungangkima
Chicham,Proto-Shuar,,fruto,*yungángke
Chicham,Proto-Shuar,,yema,*yunkemee
Chicham,Proto-Shuar,,fácil (negativo),*yúpi-chuch
Chicham,Proto-Shuar,,no; ser,*a-tsá
Chicham,Proto-Shuar,,escribir,*agá-
Chicham,Proto-Shuar,,afuera,*agá-
Chicham,Proto-Shuar,,tambo,*aáka
Chicham,Proto-Shuar,,agarrar,*achí-
Chicham,Proto-Shuar,,"chonta (palmera); miriti, moriche, aguaje",*áchu
Chicham,Proto-Shuar,,chacra,*áha
Chicham,Proto-Shuar,,tumbar,*ahá-
Chicham,Proto-Shuar,,nigua,*ahuhu
Chicham,Proto-Shuar,,casarse con hombre; esposo,*áishi-
Chicham,Proto-Shuar,,verde (fruto),*áeta
Chicham,Proto-Shuar,,bajarse,*aka
Chicham,Proto-Shuar,,gusano,*áka
Chicham,Proto-Shuar,,escopeta,*akangun
Chicham,Proto-Shuar,,hígado,*akápe
Chicham,Proto-Shuar,,pagar; caro,*akí-
Chicham,Proto-Shuar,,nacer,*akíi-
Chicham,Proto-Shuar,,"arete, adornar la oreja",*akii-tai
Chicham,Proto-Shuar,,mandar,*akupe-
Chicham,Proto-Shuar,,usted,*áme
Chicham,Proto-Shuar,,"tripas, intestinos",*ampusha
Chicham,Proto-Shuar,,búho; lechuza,*ampúsha
Chicham,Proto-Shuar,,acabar,*amú-
Chicham,Proto-Shuar,,tábano,*anchi
Chicham,Proto-Shuar,,acercarse,*aní-hi-
Chicham,Proto-Shuar,,oír,*ánta-
Chicham,Proto-Shuar,,dibujo,*anu-ká-
Chicham,Proto-Shuar,,lejos,*angá-
Chicham,Proto-Shuar,,"declive, plano inclinado, sima",*angáu
Chicham,Proto-Shuar,,libre,*angkántu
Chicham,Proto-Shuar,,tarde,*ángku
Chicham,Proto-Shuar,,después,*angúma
Chicham,Proto-Shuar,,viejo,*angútu
Chicham,Proto-Shuar,,coser,*apá-
Chicham,Proto-Shuar,,poner en el suelo,*apú-
Chicham,Proto-Shuar,,todo,*(a)shí
Chicham,Proto-Shuar,,otra vez,*atáke
Chicham,Proto-Shuar,,ustedes,*átumi
Chicham,Proto-Shuar,,aquel,*áu
Chicham,Proto-Shuar,,leer; conversar,*áuhu-
Chicham,Proto-Shuar,,pucacunga,*auntse
Chicham,Proto-Shuar,,golpear,*awá-
Chicham,Proto-Shuar,,ventilar,*awá-
Chicham,Proto-Shuar,,llevar,*(aya-)
Chicham,Proto-Shuar,,descansar,*ayá-ma-
Chicham,Proto-Shuar,,bien,*ayu
Chicham,Proto-Shuar,,alimentar,*(a)yú-
Chicham,Proto-Shuar,,nosotros,*ii
Chicham,Proto-Shuar,,olla,*(i)chí(naka)
Chicham,Proto-Shuar,,excremento,*íha
Chicham,Proto-Shuar,,cogollo de palmera; chonta (palmera),*íhu
Chicham,Proto-Shuar,,prestar,*iká-
Chicham,Proto-Shuar,,monte,*íkama
Chicham,Proto-Shuar,,"hinchar, vomitar",*(i)mu-
Chicham,Proto-Shuar,,cocinar,*ina-ngú-
Chicham,Proto-Shuar,,lengua,*inái
Chicham,Proto-Shuar,,adentro,*inita
Chicham,Proto-Shuar,,pelo,*intáshi
Chicham,Proto-Shuar,,visitar,*ingá-
Chicham,Proto-Shuar,,ayunar,*ihá-ngu
Chicham,Proto-Shuar,,encontrar uno a otro,*ingkú-
Chicham,Proto-Shuar,,"adición, contribuir, grupo",*ingu-
Chicham,Proto-Shuar,,amontonar,*ingú-
Chicham,Proto-Shuar,,tronar,*ipá-
Chicham,Proto-Shuar,,achiote,*ipáku
Chicham,Proto-Shuar,,callar,*itá-
Chicham,Proto-Shuar,,pampanilla de hombre,*itípi
Chicham,Proto-Shuar,,"manera, fácil",*itú-r-
Chicham,Proto-Shuar,,vivo,*iwákuu
Chicham,Proto-Shuar,,diablo,*íwanchi
Chicham,Proto-Shuar,,ver,*iyá
Chicham,Proto-Shuar,,caer,*iyá-
Chicham,Proto-Shuar,,ir delante,*ee-
Chicham,Proto-Shuar,,buscar,*ega
Chicham,Proto-Shuar,,afilar,*etsá-
Chicham,Proto-Shuar,,sol,*(e)tsa
Chicham,Proto-Shuar,,contar,*etse-
Chicham,Proto-Shuar,,todavía; último,*éke
Chicham,Proto-Shuar,,sentar,*(e)ké-
Chicham,Proto-Shuar,,encender la luz,*ekéi-
Chicham,Proto-Shuar,,"cama de mujer, mi esposa",*ekéntu
Chicham,Proto-Shuar,,quebrada; río,*éntsa
Chicham,Proto-Shuar,,cargar en la espalda,*entsá-
Chicham,Proto-Shuar,,cantar,*enge-sám-
Chicham,Proto-Shuar,,cargar,*enké-k-
Chicham,Proto-Shuar,,cerrar,*epe-
Chicham,Proto-Shuar,,quemar,*esá-
Chicham,Proto-Shuar,,cierto,*éta
Chicham,Proto-Shuar,,avispa,*éte
Chicham,Proto-Shuar,,niño,*úchi
Chicham,Proto-Shuar,,avisar,*uhá-
Chicham,Proto-Shuar,,tos,*uhúka
Chicham,Proto-Shuar,,extraer; abrir,*ukuwí-
Chicham,Proto-Shuar,,hueso,*ukúnchi
Chicham,Proto-Shuar,,"hermano, hermana",*umá
Chicham,Proto-Shuar,,acabar de hacer,*umí-
Chicham,Proto-Shuar,,soplar,*(um)pú-
Chicham,Proto-Shuar,,llamar,*untsú-
Chicham,Proto-Shuar,,derecho,*untsú
Chicham,Proto-Shuar,,"rebaño, grupo; muchos",*untsu-ngi
Chicham,Proto-Shuar,,mosca,*únchi
Chicham,Proto-Shuar,,puma,*untúchama
Chicham,Proto-Shuar,,ombligo,*úntuchi
Chicham,Proto-Shuar,,"pluma, pelo",*únge
Chicham,Proto-Shuar,,ronsoco,*ungkumiya
Chicham,Proto-Shuar,,saliva,*(u)sú(ki)
Chicham,Proto-Shuar,,carecer de carne,*ushu-
Chicham,Proto-Shuar,,esconder,*uú-
Chicham,Proto-Shuar,,cerbatana,*úume
Chicham,Proto-Shuar,,beber,*(u)wá-
Chicham,Proto-Shuar,,mano,*uwé(hi)
Chicham,Proto-Shuar,,punzar,*uyú-
Chicham,Proto-Shuar,,nutria,*uy(u)
Chicham,Proto-Shuar,,perezoso,*uyúshi
