ORIGINAL_GLOSS	CONCEPT	CONCEPTICON_ID	LANGUAGE_NAME	DOCULECT	FAMILY	FORM	TOKENS
line	LINE	1048.0	Proto-Panoan	pano1256	Panoan	yoman	yo m a n
lip	LIP	478.0	Proto-Arawakan	araw1281	Arawakan	kira	k i r a
lips	LIP	478.0	Proto-Chapacuran	chap1271	Chapacuran	topak	t o p a k
lip	LIP	478.0	Proto-Guahiboan	guah1252	Guahiboan	ri	r i
labio	LIP	478.0	Proto-Guaicuru	guai1249	Guaicuruan	atʃˀípi	a t ʃˀ í p i
lips	LIP	478.0	Proto-Panoan	pano1256	Panoan	kʷɨβi	kʷ ɨ β i
lips	LIP	478.0	Proto-Panoan	pano1256	Panoan	kʷɨʂan	kʷ ɨ ʂ a n
lip	LIP	478.0	Proto-Quechuan	quec1387	Quechuan	wirpa	w i r p a
labio	LIP	478.0	Proto-Shuar	jiva1245	Chicham	wénu	w é n u
liquid	LIQUID	58.0	Proto-Chibchan	chib1249	Chibchan	dí	d í
liquid	LIQUID	58.0	Proto-Chibchan	chib1249	Chibchan	ˈli	ˈl i
liquid	LIQUID	58.0	Proto-Panoan	pano1256	Panoan	hɨnɨ	h ɨ n ɨ
listen	LISTEN	1608.0	Proto-Aymara	ayma1253	Aymaran	iʃa	i ʃ a
to listen	LISTEN	1608.0	Proto-Panoan	pano1256	Panoan	kʷak	kʷ a k
to listen	LISTEN	1608.0	Proto-Panoan	pano1256	Panoan	nĩka	n ĩ k a
listen	LISTEN	1608.0	Proto-Quechuan	quec1387	Quechuan	uyari	uya r i
